Clinic Name,Phone Number,Specialty,Address/Area
Eye-Q Super Speciality Clinic,08044852762,Ophthalmology,Swaroop Nagar, Kanpur
Regency Superspeciality Clinic,09228052805,Multispeciality,Sarvodaya Nagar, Kanpur
Eye & Dental Care Clinic,07897997631,Dental & Ophthalmology,Kakadeo, Kanpur
We Care Multispeciality Clinic,05122501355,General Medicine,Khalasi Line, Swaroop Nagar, Kanpur
Apollo Spectra Clinic,05123055555,Daycare Surgery,Kakadeo, Swaroop Nagar, Kanpur
Panacea Wellness Clinic,07897997631,Orthopedics,L-Block, Kakadeo, Kanpur
Madhuraj Women Care Clinic,05122540717,Gynecology & Pediatrics,Swaroop Nagar, Kanpur
Deepanjali Dental & Orthodontic Center,09439498158,Dentistry,Swaroop Nagar, Kanpur
Kanpur Kidney & Uro Care,05122555111,Urology,Lajpat Nagar, Kanpur
Kidwai Nagar Family Clinic,05122501355,Pediatrics & General,Kidwai Nagar, Kanpur
