Clinic / Polyclinic Name,Phone Number,Specialty / OPD Type,Address / City
SimpleeKare Multi-Specialty Clinic,06746165656,General OPD & Internal Medicine,Saheed Nagar, Bhubaneswar
SimpleeKare Health Hub,06746165656,Pediatrics & Gynecology,Chandrasekharpur, Bhubaneswar
CARE Clinical Health Center,06746165656,Cardiology & General Practice,Chandrasekharpur, Bhubaneswar
Apollo Specialty Clinic,06742571234,Multispeciality OPD,Station Road, Bhubaneswar
Saheed Nagar Family OPD,06742541234,General Medicine & Wellness,Saheed Nagar, Bhubaneswar
Jaydev Vihar Medical Care Center,06742301234,Orthopedics & Family Care,Jaydev Vihar, Bhubaneswar
Kalinga Clinical OPD,06742725123,General Practice & Pediatrics,Kalinga Nagar, Bhubaneswar
Link Polyclinic & Nursing Home,09238008800,General Practice & Surgery,Arunodaya Nagar, Link Road, Cuttack
Ashwini OPD Medical Hub,09238008800,Multispeciality & Emergency,Link Road, Cuttack
Poly Hospital Clinical OPD,06712301234,Internal Medicine & Pediatrics,Tulsipur, Cuttack
Shanti Memorial OPD Clinic,06712411234,Obstetrics & General Practice,Thoria Sahi, Cuttack
Sarangi Research OPD Center,06712531234,Cardiology & General Medicine,Link Road, Cuttack
