Clinic Name,Phone Number,Specialty,Address/Area
Kishori Clinic,09040246332,Obstetrics & Pediatrics,Bargarh Central, Odisha
Sai Multispeciality OPD,09040096121,Multispeciality,Bargarh, Odisha
Krishna Vikash Clinic,07381639999,Orthopedics & General,Bargarh, Odisha
Catholic Mission Clinic,09438010638,General Medicine,Bargarh, Odisha
Behera Care Clinic,09937408874,Family Medicine,Bargarh, Odisha
Navjeevan Family Clinic,09937526764,General Physician,Bargarh, Odisha
Sri Satya Sai Clinic,09437210843,Homeopathy & Wellness,Bargarh, Odisha
Lions Eye Care Center,08249602504,Ophthalmology,Bargarh, Odisha
Hira Diagnostic Clinic,09438015624,Radiology & GP,Bargarh, Odisha
Purohit Wellness Clinic,09437054403,ENT & General,Bargarh, Odisha
