Clinic Name,Phone Number,Specialty,Address/Area
Noida Medical Dental Center,01204504400,Dentistry & Orthodontics,Sector 27, Noida
Vinayak Family Care Clinic,01204504400,General Medicine,Sector 33, Noida
Kailash Pediatric Care Clinic,01202444444,Pediatrics,Sector 27, Noida
Max Med Centre OPD Clinic,01206629999,Multispeciality,Sector 19, Noida
Apex Orthopedics Clinic,08800001068,Orthopedics,Sector 62, Noida
Neo Life Gynecology Clinic,01204504400,Gynecology,Sector 50, Noida
Metro Heart Clinic OPD,01202444444,Cardiology,Sector 12, Noida
Sanjeevani Clinic,08800001068,General Physician,Sector 15, Noida
Prakash Eye Care Clinic,01206629999,Ophthalmology,Sector 33, Noida
Noida Ent Super Speciality,01204504400,ENT,Sector 18, Noida
