Clinic Name,Phone Number,Specialty,Address/Area
Swaraj Research Clinic,06652230124,General Medicine,Patnagarh Road, Bolangir
N.C. Nayak Memorial OPD,06652230155,Pediatrics,Railway Station Road, Bolangir
BIMS Family Medicine Clinic,06652234068,General Practitioner,Main Town, Bolangir
Krishna Healthcare Clinic,06652230124,Gynecology & GP,Bolangir, Odisha
Panda Diagnostics & OPD,06652230155,Radiology & General,Bolangir, Odisha
Viewell Care Clinic,06652234068,Orthopedics,Bolangir, Odisha
Samaleswari Dental Clinic,06652230124,Dentistry,Bolangir, Odisha
Astha Family Clinic,06652230155,ENT & General,Bolangir, Odisha
Patnagarh Health Clinic,06652234068,Pediatrics,Patnagarh Road, Bolangir
Bolangir Medical Center,06652230124,Urology & General,Station Road, Bolangir
