Lab / Diagnostic Center Name,Phone Number,Specialty / Test Category,Address / Area
Pathkind Diagnostics Bargarh,09437639111,Pathology & Hematology,Kali Mandir Chowk, Govind Pali Road, Bargarh
Dr. Lal PathLabs Bargarh,09861269888,Diagnostic & Biomarker Scans,Kishori Nursing Home, Bhatli Chowk, NH-6, Bargarh
Apollo Diagnostics Bargarh,09606112399,Pathology & Biochemistry,Plot 7159, Hospital Road, Bargarh Bazar
Hemalata X-Ray & Patho Clinic,07750893493,Pathology & Radiology,Ward No. 10, Behind SBI Main Branch, Bargarh
Raj Polyclinic & Diagnostic Centre,07750893493,Pathology & Polyclinic OPD,Old Govt Hospital Road, Ward No. 6, Bargarh
Agilus Diagnostics (SRL) Bargarh,09437639111,Advanced Clinical Pathology,Bargarh Central Market, Bargarh
Thyrocare Diagnostic Center,09606112399,Endocrine & Blood Profiles,Satyavati Enclave, Civil Court Road, Bargarh
J.K. Medical & Patho Lab,09861269888,Pathology & Hematology,Near Govt Hospital (CHC), Sohela, Bargarh
Bargarh Diagnostic & X-Ray Hub,07750893493,Multispeciality Pathology,Bargarh Bazar, Near HQ Hospital, Bargarh
Kishori Pathology Center,09861269888,Pathology & Biochemistry,Bhatli Chowk, NH-6, Bargarh
