Clinic Name,Phone Number,Specialty,Address/Area
Doctors Hospital Johar Clinic,042111223377,Multispeciality,Johar Town, Lahore
Hameed Latif Garden Care,042111000043,General Medicine,New Garden Town, Lahore
DHA Family Dental Clinic,04236667274,Dentistry,DHA Phase 3, Lahore
Farooq Iqbal Town OPD,04237813471,Pediatrics & GP,Allama Iqbal Town, Lahore
Shadman Kidney & Uro Center,04238900939,Urology,Shadman II, Lahore
Gulberg Cardiology Clinic,04235710400,Cardiology,Zafar Ali Road, Gulberg, Lahore
Ittefaq Model Town Clinic,042111770000,Family Medicine,Model Town, Lahore
Surgimed Orthopedics Clinic,04235758871,Orthopedics,Gulberg V, Lahore
Akram Medical Care Clinic,04235710400,Gynecology,Zafar Ali Road, Lahore
Shalamar Medical OPD Clinic,042111205205,General Medicine,Shalimar Link Road, Lahore
