Clinic Name,Phone Number,Specialty,Address/Area
Sir Ganga Ram Family Clinic,01125712389,General Medicine & Surgery,Pusa Road, New Delhi
Apollo Health Clinic,04069063398,Multispeciality & OPD,Pusa Road, Karol Bagh, Delhi
East of Kailash Medical OPD,07807050555,General Practitioner & Wellness,East of Kailash, New Delhi
Janakpuri Apollo Care Clinic,09211218884,Pediatrics & Gynecology,Janakpuri, New Delhi
Rajouri Garden Family Clinic,01125918222,General Medicine,Rajouri Garden, New Delhi
Dwarka Medical Center OPD,08377008163,Family Medicine & Diagnostics,VV Plaza, Dwarka, Delhi
Max Medical Consultation Hub,09240299624,Internal Medicine & GP,Sector 10, Dwarka, New Delhi
Moolchand Family Health OPD,01126832461,Obstetrics & General,Lajpat Nagar, New Delhi
Batra Clinical Care Center,01129958747,Cardiology & GP,Tughlakabad, New Delhi
Vasundhara Family Clinic,01143066353,Pediatrics & ENT,Vasundhara Enclave, New Delhi
